a_Gene_ID	Mirbase ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
transcript:ENSORLT00000030617	ola-miR-187-3p#FMORYLATM0298	8090	1659	1666	1659	1666	460	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000030617	ola-miR-187-3p#FMORYLATM0298	8090	866	871	866	871	461	6mer	x	6mer	8090		0
transcript:ENSORLT00000042368	ola-miR-187-3p#FMORYLATM0298	8090	3151	3157	3151	3157	462	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000042368	ola-miR-187-3p#FMORYLATM0298	8090	3237	3242	3237	3242	463	6mer	x	6mer	8090		0
transcript:ENSORLT00000042368	ola-miR-187-3p#FMORYLATM0298	8090	45	51	45	51	464	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000015386	ola-miR-187-3p#FMORYLATM0298	8090	1840	1847	1840	1847	465	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000028515	ola-miR-187-3p#FMORYLATM0298	8090	1294	1299	1294	1299	466	6mer	x	6mer	8090		0
transcript:ENSORLT00000035658	ola-miR-187-3p#FMORYLATM0298	8090	2488	2493	2488	2493	467	6mer	x	6mer	8090		0
transcript:ENSORLT00000041133	ola-miR-187-3p#FMORYLATM0298	8090	528	533	528	533	468	6mer	x	6mer	8090		0
transcript:ENSORLT00000044358	ola-miR-187-3p#FMORYLATM0298	8090	322	327	322	327	469	6mer	x	6mer	8090		0
transcript:ENSORLT00000036575	ola-miR-187-3p#FMORYLATM0298	8090	908	914	908	914	470	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000046498	ola-miR-187-3p#FMORYLATM0298	8090	908	914	908	914	471	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000041520	ola-miR-187-3p#FMORYLATM0298	8090	2931	2936	2931	2936	472	6mer	x	6mer	8090		0
transcript:ENSORLT00000016995	ola-miR-187-3p#FMORYLATM0298	8090	1279	1285	1279	1285	473	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000016995	ola-miR-187-3p#FMORYLATM0298	8090	2084	2090	2084	2090	474	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000016995	ola-miR-187-3p#FMORYLATM0298	8090	2810	2816	2810	2816	475	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000016995	ola-miR-187-3p#FMORYLATM0298	8090	2968	2974	2968	2974	476	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000017032	ola-miR-187-3p#FMORYLATM0298	8090	437	444	437	444	477	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000028810	ola-miR-187-3p#FMORYLATM0298	8090	437	444	437	444	478	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000033384	ola-miR-187-3p#FMORYLATM0298	8090	437	444	437	444	479	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000030228	ola-miR-187-3p#FMORYLATM0298	8090	1482	1487	1482	1487	480	6mer	x	6mer	8090		0
transcript:ENSORLT00000030703	ola-miR-187-3p#FMORYLATM0298	8090	693	699	693	699	481	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000035366	ola-miR-187-3p#FMORYLATM0298	8090	693	699	693	699	482	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017161	ola-miR-187-3p#FMORYLATM0298	8090	2861	2867	2861	2867	483	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017161	ola-miR-187-3p#FMORYLATM0298	8090	3426	3432	3426	3432	484	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017161	ola-miR-187-3p#FMORYLATM0298	8090	372	378	372	378	485	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000033984	ola-miR-187-3p#FMORYLATM0298	8090	1734	1740	1734	1740	486	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028294	ola-miR-187-3p#FMORYLATM0298	8090	804	809	804	809	487	6mer	x	6mer	8090		0
transcript:ENSORLT00000025853	ola-miR-187-3p#FMORYLATM0298	8090	305	310	305	310	488	6mer	x	6mer	8090		0
transcript:ENSORLT00000017758	ola-miR-187-3p#FMORYLATM0298	8090	3180	3186	3180	3186	489	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017758	ola-miR-187-3p#FMORYLATM0298	8090	4451	4457	4451	4457	490	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017758	ola-miR-187-3p#FMORYLATM0298	8090	527	533	527	533	491	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000039097	ola-miR-187-3p#FMORYLATM0298	8090	2494	2499	2494	2499	492	6mer	x	6mer	8090		0
transcript:ENSORLT00000017932	ola-miR-187-3p#FMORYLATM0298	8090	574	579	574	579	493	6mer	x	6mer	8090		0
transcript:ENSORLT00000017973	ola-miR-187-3p#FMORYLATM0298	8090	595	601	595	601	494	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000024437	ola-miR-187-3p#FMORYLATM0298	8090	23	29	23	29	495	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000038314	ola-miR-187-3p#FMORYLATM0298	8090	1266	1272	1266	1272	496	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000038314	ola-miR-187-3p#FMORYLATM0298	8090	205	210	205	210	497	6mer	x	6mer	8090		0
transcript:ENSORLT00000038314	ola-miR-187-3p#FMORYLATM0298	8090	2786	2791	2786	2791	498	6mer	x	6mer	8090		0
transcript:ENSORLT00000027012	ola-miR-187-3p#FMORYLATM0298	8090	796	801	796	801	499	6mer	x	6mer	8090		0
transcript:ENSORLT00000042630	ola-miR-187-3p#FMORYLATM0298	8090	2063	2069	2063	2069	500	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000044189	ola-miR-187-3p#FMORYLATM0298	8090	2063	2069	2063	2069	501	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000025219	ola-miR-187-3p#FMORYLATM0298	8090	548	553	548	553	502	6mer	x	6mer	8090		0
transcript:ENSORLT00000026916	ola-miR-187-3p#FMORYLATM0298	8090	548	553	548	553	503	6mer	x	6mer	8090		0
transcript:ENSORLT00000034210	ola-miR-187-3p#FMORYLATM0298	8090	1285	1291	1285	1291	504	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000046318	ola-miR-187-3p#FMORYLATM0298	8090	1285	1291	1285	1291	505	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036589	ola-miR-187-3p#FMORYLATM0298	8090	1498	1503	1498	1503	506	6mer	x	6mer	8090		0
transcript:ENSORLT00000036589	ola-miR-187-3p#FMORYLATM0298	8090	3637	3642	3637	3642	507	6mer	x	6mer	8090		0
transcript:ENSORLT00000039912	ola-miR-187-3p#FMORYLATM0298	8090	1498	1503	1498	1503	508	6mer	x	6mer	8090		0
transcript:ENSORLT00000039912	ola-miR-187-3p#FMORYLATM0298	8090	3637	3642	3637	3642	509	6mer	x	6mer	8090		0
transcript:ENSORLT00000027693	ola-miR-187-3p#FMORYLATM0298	8090	161	166	161	166	510	6mer	x	6mer	8090		0
transcript:ENSORLT00000034824	ola-miR-187-3p#FMORYLATM0298	8090	1930	1936	1930	1936	511	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000034824	ola-miR-187-3p#FMORYLATM0298	8090	2148	2154	2148	2154	512	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000035387	ola-miR-187-3p#FMORYLATM0298	8090	1930	1936	1930	1936	513	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000035387	ola-miR-187-3p#FMORYLATM0298	8090	2148	2154	2148	2154	514	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000000450	ola-miR-187-3p#FMORYLATM0298	8090	747	752	747	752	515	6mer	x	6mer	8090		0
transcript:ENSORLT00000038299	ola-miR-187-3p#FMORYLATM0298	8090	185	190	185	190	516	6mer	x	6mer	8090		0
transcript:ENSORLT00000042974	ola-miR-187-3p#FMORYLATM0298	8090	991	996	991	996	517	6mer	x	6mer	8090		0
transcript:ENSORLT00000031128	ola-miR-187-3p#FMORYLATM0298	8090	1135	1141	1135	1141	518	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000001256	ola-miR-187-3p#FMORYLATM0298	8090	106	111	106	111	519	6mer	x	6mer	8090		0
transcript:ENSORLT00000037965	ola-miR-187-3p#FMORYLATM0298	8090	665	670	665	670	520	6mer	x	6mer	8090		0
transcript:ENSORLT00000001281	ola-miR-187-3p#FMORYLATM0298	8090	476	482	476	482	521	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000001281	ola-miR-187-3p#FMORYLATM0298	8090	75	81	75	81	522	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040453	ola-miR-187-3p#FMORYLATM0298	8090	2957	2964	2957	2964	523	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000040453	ola-miR-187-3p#FMORYLATM0298	8090	3305	3310	3305	3310	524	6mer	x	6mer	8090		0
transcript:ENSORLT00000001694	ola-miR-187-3p#FMORYLATM0298	8090	1196	1202	1196	1202	525	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000027062	ola-miR-187-3p#FMORYLATM0298	8090	3719	3724	3719	3724	526	6mer	x	6mer	8090		0
transcript:ENSORLT00000040788	ola-miR-187-3p#FMORYLATM0298	8090	1310	1315	1310	1315	527	6mer	x	6mer	8090		0
transcript:ENSORLT00000040788	ola-miR-187-3p#FMORYLATM0298	8090	554	560	554	560	528	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000027343	ola-miR-187-3p#FMORYLATM0298	8090	255	260	255	260	529	6mer	x	6mer	8090		0
transcript:ENSORLT00000003147	ola-miR-187-3p#FMORYLATM0298	8090	573	579	573	579	530	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000035943	ola-miR-187-3p#FMORYLATM0298	8090	784	789	784	789	531	6mer	x	6mer	8090		0
transcript:ENSORLT00000042585	ola-miR-187-3p#FMORYLATM0298	8090	784	789	784	789	532	6mer	x	6mer	8090		0
transcript:ENSORLT00000040964	ola-miR-187-3p#FMORYLATM0298	8090	1312	1317	1312	1317	533	6mer	x	6mer	8090		0
transcript:ENSORLT00000040964	ola-miR-187-3p#FMORYLATM0298	8090	642	648	642	648	534	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000038393	ola-miR-187-3p#FMORYLATM0298	8090	597	602	597	602	535	6mer	x	6mer	8090		0
transcript:ENSORLT00000044508	ola-miR-187-3p#FMORYLATM0298	8090	597	602	597	602	536	6mer	x	6mer	8090		0
transcript:ENSORLT00000003327	ola-miR-187-3p#FMORYLATM0298	8090	2564	2569	2564	2569	537	6mer	x	6mer	8090		0
transcript:ENSORLT00000039430	ola-miR-187-3p#FMORYLATM0298	8090	2564	2569	2564	2569	538	6mer	x	6mer	8090		0
transcript:ENSORLT00000040513	ola-miR-187-3p#FMORYLATM0298	8090	2564	2569	2564	2569	539	6mer	x	6mer	8090		0
transcript:ENSORLT00000037824	ola-miR-187-3p#FMORYLATM0298	8090	241	246	241	246	540	6mer	x	6mer	8090		0
transcript:ENSORLT00000028130	ola-miR-187-3p#FMORYLATM0298	8090	1182	1187	1182	1187	541	6mer	x	6mer	8090		0
transcript:ENSORLT00000036707	ola-miR-187-3p#FMORYLATM0298	8090	1182	1187	1182	1187	542	6mer	x	6mer	8090		0
transcript:ENSORLT00000038883	ola-miR-187-3p#FMORYLATM0298	8090	1182	1187	1182	1187	543	6mer	x	6mer	8090		0
transcript:ENSORLT00000004133	ola-miR-187-3p#FMORYLATM0298	8090	835	840	835	840	544	6mer	x	6mer	8090		0
transcript:ENSORLT00000004136	ola-miR-187-3p#FMORYLATM0298	8090	835	840	835	840	545	6mer	x	6mer	8090		0
transcript:ENSORLT00000036210	ola-miR-187-3p#FMORYLATM0298	8090	1445	1451	1445	1451	546	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036210	ola-miR-187-3p#FMORYLATM0298	8090	2604	2610	2604	2610	547	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000004439	ola-miR-187-3p#FMORYLATM0298	8090	57	63	57	63	548	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000030770	ola-miR-187-3p#FMORYLATM0298	8090	1520	1525	1520	1525	549	6mer	x	6mer	8090		0
transcript:ENSORLT00000036077	ola-miR-187-3p#FMORYLATM0298	8090	1520	1525	1520	1525	550	6mer	x	6mer	8090		0
transcript:ENSORLT00000004677	ola-miR-187-3p#FMORYLATM0298	8090	538	543	538	543	551	6mer	x	6mer	8090		0
transcript:ENSORLT00000029972	ola-miR-187-3p#FMORYLATM0298	8090	538	543	538	543	552	6mer	x	6mer	8090		0
transcript:ENSORLT00000004771	ola-miR-187-3p#FMORYLATM0298	8090	520	525	520	525	553	6mer	x	6mer	8090		0
transcript:ENSORLT00000004807	ola-miR-187-3p#FMORYLATM0298	8090	2408	2414	2408	2414	554	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028745	ola-miR-187-3p#FMORYLATM0298	8090	2412	2418	2412	2418	555	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036524	ola-miR-187-3p#FMORYLATM0298	8090	2412	2418	2412	2418	556	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000045240	ola-miR-187-3p#FMORYLATM0298	8090	2412	2418	2412	2418	557	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000004965	ola-miR-187-3p#FMORYLATM0298	8090	2730	2736	2730	2736	558	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000004977	ola-miR-187-3p#FMORYLATM0298	8090	33	39	33	39	559	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000030499	ola-miR-187-3p#FMORYLATM0298	8090	2407	2412	2407	2412	560	6mer	x	6mer	8090		0
transcript:ENSORLT00000036813	ola-miR-187-3p#FMORYLATM0298	8090	2407	2412	2407	2412	561	6mer	x	6mer	8090		0
transcript:ENSORLT00000005341	ola-miR-187-3p#FMORYLATM0298	8090	1857	1862	1857	1862	562	6mer	x	6mer	8090		0
transcript:ENSORLT00000044118	ola-miR-187-3p#FMORYLATM0298	8090	3045	3050	3045	3050	563	6mer	x	6mer	8090		0
transcript:ENSORLT00000006952	ola-miR-187-3p#FMORYLATM0298	8090	977	982	977	982	564	6mer	x	6mer	8090		0
transcript:ENSORLT00000042791	ola-miR-187-3p#FMORYLATM0298	8090	3284	3289	3284	3289	565	6mer	x	6mer	8090		0
transcript:ENSORLT00000043137	ola-miR-187-3p#FMORYLATM0298	8090	32	37	32	37	566	6mer	x	6mer	8090		0
transcript:ENSORLT00000030865	ola-miR-187-3p#FMORYLATM0298	8090	147	152	147	152	567	6mer	x	6mer	8090		0
transcript:ENSORLT00000028178	ola-miR-187-3p#FMORYLATM0298	8090	1027	1033	1027	1033	568	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000036758	ola-miR-187-3p#FMORYLATM0298	8090	3042	3047	3042	3047	569	6mer	x	6mer	8090		0
transcript:ENSORLT00000036758	ola-miR-187-3p#FMORYLATM0298	8090	636	641	636	641	570	6mer	x	6mer	8090		0
transcript:ENSORLT00000040107	ola-miR-187-3p#FMORYLATM0298	8090	86	91	86	91	571	6mer	x	6mer	8090		0
transcript:ENSORLT00000027856	ola-miR-187-3p#FMORYLATM0298	8090	1505	1510	1505	1510	572	6mer	x	6mer	8090		0
transcript:ENSORLT00000028874	ola-miR-187-3p#FMORYLATM0298	8090	1505	1510	1505	1510	573	6mer	x	6mer	8090		0
transcript:ENSORLT00000034914	ola-miR-187-3p#FMORYLATM0298	8090	1505	1510	1505	1510	574	6mer	x	6mer	8090		0
transcript:ENSORLT00000047014	ola-miR-187-3p#FMORYLATM0298	8090	3440	3445	3440	3445	575	6mer	x	6mer	8090		0
transcript:ENSORLT00000047014	ola-miR-187-3p#FMORYLATM0298	8090	3705	3710	3705	3710	576	6mer	x	6mer	8090		0
transcript:ENSORLT00000008771	ola-miR-187-3p#FMORYLATM0298	8090	2969	2975	2969	2975	577	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000008774	ola-miR-187-3p#FMORYLATM0298	8090	2969	2975	2969	2975	578	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000008775	ola-miR-187-3p#FMORYLATM0298	8090	2969	2975	2969	2975	579	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000008778	ola-miR-187-3p#FMORYLATM0298	8090	2969	2975	2969	2975	580	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000038817	ola-miR-187-3p#FMORYLATM0298	8090	2969	2975	2969	2975	581	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040713	ola-miR-187-3p#FMORYLATM0298	8090	3105	3110	3105	3110	582	6mer	x	6mer	8090		0
transcript:ENSORLT00000009040	ola-miR-187-3p#FMORYLATM0298	8090	2025	2031	2025	2031	583	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000009040	ola-miR-187-3p#FMORYLATM0298	8090	76	83	76	83	584	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000028828	ola-miR-187-3p#FMORYLATM0298	8090	3958	3965	3958	3965	585	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000033203	ola-miR-187-3p#FMORYLATM0298	8090	2936	2942	2936	2942	586	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000033203	ola-miR-187-3p#FMORYLATM0298	8090	3236	3241	3236	3241	587	6mer	x	6mer	8090		0
transcript:ENSORLT00000039623	ola-miR-187-3p#FMORYLATM0298	8090	1766	1772	1766	1772	588	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000039623	ola-miR-187-3p#FMORYLATM0298	8090	571	577	571	577	589	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000010252	ola-miR-187-3p#FMORYLATM0298	8090	484	489	484	489	590	6mer	x	6mer	8090		0
transcript:ENSORLT00000010486	ola-miR-187-3p#FMORYLATM0298	8090	1057	1062	1057	1062	591	6mer	x	6mer	8090		0
transcript:ENSORLT00000032460	ola-miR-187-3p#FMORYLATM0298	8090	1490	1496	1490	1496	592	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000011805	ola-miR-187-3p#FMORYLATM0298	8090	3774	3779	3774	3779	593	6mer	x	6mer	8090		0
transcript:ENSORLT00000047123	ola-miR-187-3p#FMORYLATM0298	8090	817	822	817	822	594	6mer	x	6mer	8090		0
transcript:ENSORLT00000011840	ola-miR-187-3p#FMORYLATM0298	8090	1218	1223	1218	1223	595	6mer	x	6mer	8090		0
transcript:ENSORLT00000040806	ola-miR-187-3p#FMORYLATM0298	8090	1218	1223	1218	1223	596	6mer	x	6mer	8090		0
transcript:ENSORLT00000011860	ola-miR-187-3p#FMORYLATM0298	8090	658	663	658	663	597	6mer	x	6mer	8090		0
transcript:ENSORLT00000012226	ola-miR-187-3p#FMORYLATM0298	8090	1339	1345	1339	1345	598	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000012458	ola-miR-187-3p#FMORYLATM0298	8090	590	595	590	595	599	6mer	x	6mer	8090		0
transcript:ENSORLT00000012553	ola-miR-187-3p#FMORYLATM0298	8090	1861	1866	1861	1866	600	6mer	x	6mer	8090		0
transcript:ENSORLT00000012553	ola-miR-187-3p#FMORYLATM0298	8090	4111	4116	4111	4116	601	6mer	x	6mer	8090		0
transcript:ENSORLT00000012553	ola-miR-187-3p#FMORYLATM0298	8090	935	940	935	940	602	6mer	x	6mer	8090		0
transcript:ENSORLT00000036650	ola-miR-187-3p#FMORYLATM0298	8090	1723	1729	1723	1729	603	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028107	ola-miR-187-3p#FMORYLATM0298	8090	1170	1176	1170	1176	604	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000027964	ola-miR-187-3p#FMORYLATM0298	8090	89	95	89	95	605	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000031909	ola-miR-187-3p#FMORYLATM0298	8090	1612	1618	1612	1618	606	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036525	ola-miR-187-3p#FMORYLATM0298	8090	1612	1618	1612	1618	607	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040978	ola-miR-187-3p#FMORYLATM0298	8090	3051	3056	3051	3056	608	6mer	x	6mer	8090		0
transcript:ENSORLT00000046644	ola-miR-187-3p#FMORYLATM0298	8090	3051	3056	3051	3056	609	6mer	x	6mer	8090		0
transcript:ENSORLT00000028899	ola-miR-187-3p#FMORYLATM0298	8090	1977	1982	1977	1982	610	6mer	x	6mer	8090		0
transcript:ENSORLT00000028090	ola-miR-187-3p#FMORYLATM0298	8090	2935	2941	2935	2941	611	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000042848	ola-miR-187-3p#FMORYLATM0298	8090	2935	2941	2935	2941	612	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000046103	ola-miR-187-3p#FMORYLATM0298	8090	2935	2941	2935	2941	613	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000026766	ola-miR-187-3p#FMORYLATM0298	8090	1202	1207	1202	1207	614	6mer	x	6mer	8090		0
transcript:ENSORLT00000036858	ola-miR-187-3p#FMORYLATM0298	8090	71	76	71	76	615	6mer	x	6mer	8090		0
transcript:ENSORLT00000013513	ola-miR-187-3p#FMORYLATM0298	8090	451	456	451	456	616	6mer	x	6mer	8090		0
transcript:ENSORLT00000013512	ola-miR-187-3p#FMORYLATM0298	8090	1270	1275	1270	1275	617	6mer	x	6mer	8090		0
transcript:ENSORLT00000013512	ola-miR-187-3p#FMORYLATM0298	8090	1295	1300	1295	1300	618	6mer	x	6mer	8090		0
transcript:ENSORLT00000013512	ola-miR-187-3p#FMORYLATM0298	8090	2270	2275	2270	2275	619	6mer	x	6mer	8090		0
transcript:ENSORLT00000013612	ola-miR-187-3p#FMORYLATM0298	8090	204	210	204	210	620	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000013918	ola-miR-187-3p#FMORYLATM0298	8090	406	412	406	412	621	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000044490	ola-miR-187-3p#FMORYLATM0298	8090	1438	1443	1438	1443	622	6mer	x	6mer	8090		0
transcript:ENSORLT00000029342	ola-miR-187-3p#FMORYLATM0298	8090	4242	4248	4242	4248	623	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000045883	ola-miR-187-3p#FMORYLATM0298	8090	4242	4248	4242	4248	624	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000027282	ola-miR-187-3p#FMORYLATM0298	8090	2225	2231	2225	2231	625	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000036643	ola-miR-187-3p#FMORYLATM0298	8090	2225	2231	2225	2231	626	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000044670	ola-miR-187-3p#FMORYLATM0298	8090	229	236	229	236	627	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000044670	ola-miR-187-3p#FMORYLATM0298	8090	588	593	588	593	628	6mer	x	6mer	8090		0
transcript:ENSORLT00000016555	ola-miR-187-3p#FMORYLATM0298	8090	235	241	235	241	629	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000016555	ola-miR-187-3p#FMORYLATM0298	8090	335	341	335	341	630	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000016555	ola-miR-187-3p#FMORYLATM0298	8090	631	636	631	636	631	6mer	x	6mer	8090		0
transcript:ENSORLT00000030906	ola-miR-187-3p#FMORYLATM0298	8090	2787	2793	2787	2793	632	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000045988	ola-miR-187-3p#FMORYLATM0298	8090	1460	1467	1460	1467	633	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000016820	ola-miR-187-3p#FMORYLATM0298	8090	1428	1435	1428	1435	634	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000027899	ola-miR-187-3p#FMORYLATM0298	8090	179	186	179	186	635	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000027899	ola-miR-187-3p#FMORYLATM0298	8090	2297	2304	2297	2304	636	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000031740	ola-miR-187-3p#FMORYLATM0298	8090	179	186	179	186	637	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000031740	ola-miR-187-3p#FMORYLATM0298	8090	2297	2304	2297	2304	638	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000044568	ola-miR-187-3p#FMORYLATM0298	8090	179	186	179	186	639	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000044568	ola-miR-187-3p#FMORYLATM0298	8090	2297	2304	2297	2304	640	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000046464	ola-miR-187-3p#FMORYLATM0298	8090	179	186	179	186	641	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000046464	ola-miR-187-3p#FMORYLATM0298	8090	2297	2304	2297	2304	642	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000027391	ola-miR-187-3p#FMORYLATM0298	8090	1442	1448	1442	1448	643	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000027391	ola-miR-187-3p#FMORYLATM0298	8090	1530	1535	1530	1535	644	6mer	x	6mer	8090		0
transcript:ENSORLT00000017092	ola-miR-187-3p#FMORYLATM0298	8090	1523	1528	1523	1528	645	6mer	x	6mer	8090		0
transcript:ENSORLT00000017092	ola-miR-187-3p#FMORYLATM0298	8090	1763	1768	1763	1768	646	6mer	x	6mer	8090		0
transcript:ENSORLT00000017092	ola-miR-187-3p#FMORYLATM0298	8090	3315	3320	3315	3320	647	6mer	x	6mer	8090		0
transcript:ENSORLT00000040465	ola-miR-187-3p#FMORYLATM0298	8090	1794	1799	1794	1799	648	6mer	x	6mer	8090		0
transcript:ENSORLT00000040465	ola-miR-187-3p#FMORYLATM0298	8090	2034	2039	2034	2039	649	6mer	x	6mer	8090		0
transcript:ENSORLT00000040465	ola-miR-187-3p#FMORYLATM0298	8090	3586	3591	3586	3591	650	6mer	x	6mer	8090		0
transcript:ENSORLT00000017145	ola-miR-187-3p#FMORYLATM0298	8090	1382	1388	1382	1388	651	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000017429	ola-miR-187-3p#FMORYLATM0298	8090	605	611	605	611	652	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000031390	ola-miR-187-3p#FMORYLATM0298	8090	228	233	228	233	653	6mer	x	6mer	8090		0
transcript:ENSORLT00000031390	ola-miR-187-3p#FMORYLATM0298	8090	800	805	800	805	654	6mer	x	6mer	8090		0
transcript:ENSORLT00000017600	ola-miR-187-3p#FMORYLATM0298	8090	3037	3043	3037	3043	655	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040307	ola-miR-187-3p#FMORYLATM0298	8090	89	94	89	94	656	6mer	x	6mer	8090		0
transcript:ENSORLT00000046191	ola-miR-187-3p#FMORYLATM0298	8090	139	144	139	144	657	6mer	x	6mer	8090		0
transcript:ENSORLT00000034516	ola-miR-187-3p#FMORYLATM0298	8090	3940	3947	3940	3947	658	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000034516	ola-miR-187-3p#FMORYLATM0298	8090	421	426	421	426	659	6mer	x	6mer	8090		0
